Date,Open,High,Low,Close,Volume,Adj Close
07-07-2006,92.77,93.51,92.44,92.81,2434300,91.11
06-07-2006,93.26,93.8,93,93.15,2507200,91.45
05-07-2006,93.54,93.58,93.02,93.42,3103400,91.71
03-07-2006,94.61,94.61,93.74,94.3,1791200,92.58
30-06-2006,94.99,95.14,94.4,94.61,1551000,92.88
29-06-2006,94.1,95.2,93.5,95.05,3142600,93.3
28-06-2006,93.52,93.52,92.52,93.3,1329900,91.57
27-06-2006,94.15,94.22,92.91,93.23,1320600,91.51
26-06-2006,93.73,94.45,93.42,93.9,1449500,92.16
23-06-2006,93.48,94.12,93.22,93.29,1017100,91.57
22-06-2006,93.95,93.95,93.18,93.7,1537400,91.97
21-06-2006,93.52,94.43,93.24,94.04,1829500,92.3
20-06-2006,93.43,93.7,92.92,93.32,2075100,91.59
19-06-2006,93.63,94.1,92.76,93.06,2780500,91.34
16-06-2006,93.93,94.6,93.19,93.4,2396800,91.67
15-06-2006,92.6,94.17,92.41,94,5134600,92.26
14-06-2006,92,92.72,91.42,92.25,3717600,90.54
13-06-2006,91.05,92.4,91.05,91.78,4734500,90.06
12-06-2006,92.21,92.35,90.93,90.98,3803300,89.28
09-06-2006,92.5,92.86,92.08,92.08,2958700,90.36
08-06-2006,91.75,92.76,90.74,92.33,6220600,90.6
07-06-2006,92.29,92.88,91.35,91.35,3768500,89.64
06-06-2006,94.2,94.37,92.6,93.25,6060800,89.91
05-06-2006,94.85,95.33,93.8,93.95,4234400,90.53
02-06-2006,95.75,96.13,94.45,95.5,5277100,92.02
01-06-2006,95.2,95.72,94.69,95.72,2874800,92.23
31-05-2006,94.22,94.92,94.02,94.89,2347100,91.43
30-05-2006,94.81,94.81,93.79,93.85,2876200,90.43
26-05-2006,95.83,96.27,95.67,95.78,2002400,92.29
25-05-2006,95.15,95.76,94.78,95.76,2511300,92.27
24-05-2006,93.91,94.78,93.56,94.5,4527200,91.06
23-05-2006,95.37,95.95,94.28,94.29,3333000,90.85
22-05-2006,95.5,95.6,94.19,94.8,3960900,91.34
19-05-2006,93,95.78,93,95.63,4093500,92.14
18-05-2006,94.5,95.21,94.05,94.5,4704200,91.06
17-05-2006,94.47,94.64,93.55,93.8,5217600,90.38
16-05-2006,96.33,96.42,94.93,94.99,2943700,91.44
15-05-2006,94.88,96.51,94.76,96.51,4732300,92.91
12-05-2006,97,97.2,95.58,95.83,8042100,92.25
11-05-2006,98.41,98.71,96.99,97.4,3584000,93.76
10-05-2006,99.05,99.2,98.29,98.59,2393500,94.9
09-05-2006,99.22,99.7,99.11,99.11,599500,95.4
08-05-2006,99.2,100.07,99.18,99.39,1407100,95.66
05-05-2006,97.78,99.42,97.78,99.26,1547600,95.54
04-05-2006,97.47,97.57,96.4,97.35,4684900,93.7
03-05-2006,96.8,97.2,96.59,96.9,3486900,93.27
02-05-2006,97.5,97.61,96.8,96.87,2610700,93.24
01-05-2006,97.53,98.21,97.21,97.28,5747900,93.63
28-04-2006,96.99,97.36,96.61,96.61,2126400,92.99
27-04-2006,96.2,97.73,96.2,97.1,2271100,93.46
26-04-2006,96.67,97.34,96.53,96.97,1719000,93.33
25-04-2006,96.3,96.72,95.9,96.1,2043500,92.5
24-04-2006,96.46,96.75,95.81,96.4,1979600,92.78
21-04-2006,97.74,97.77,96.03,96.65,2764600,93.02
20-04-2006,97.2,98.07,96.89,97.47,1557100,93.81
19-04-2006,97.78,98.05,97.01,97.4,2179200,93.74
18-04-2006,96.79,97.95,96.6,97.72,3651600,94.04
17-04-2006,96.95,97.35,95.55,96.1,2955200,92.48
13-04-2006,96.9,97.61,96.61,97.13,2688400,93.47
12-04-2006,97.2,97.31,96.75,96.93,791100,93.27
11-04-2006,98.09,98.23,96.76,97.16,2214600,93.5
10-04-2006,98.56,98.61,97.55,97.99,2981200,94.29
07-04-2006,99.88,100.33,98.47,98.74,3506100,95
06-04-2006,99.3,99.88,99.01,99.74,3794200,95.96
05-04-2006,98.8,99.52,98.73,99.18,1643300,95.43
04-04-2006,97.7,98.7,97.49,98.41,1750000,94.68
03-04-2006,98.75,98.75,97.55,97.76,3414100,94.06
31-03-2006,99.03,99.33,98.29,98.56,1841700,94.83
30-03-2006,99.33,99.72,98.34,98.74,2103700,94.99
29-03-2006,99.21,99.72,98.94,99.38,1582900,95.61
28-03-2006,99.42,99.85,98.85,99.04,2026500,95.27
27-03-2006,99.4,99.79,99.13,99.45,1282000,95.67
24-03-2006,99.9,100.23,98.98,99.43,2086500,95.65
23-03-2006,99.93,100.6,99.85,100.33,2446400,96.51
22-03-2006,99.56,100.13,99.06,99.9,3114100,96.1
21-03-2006,99.88,100.46,99.4,99.92,2729600,96.12
20-03-2006,100.01,100.41,99.82,99.93,1709600,96.13
17-03-2006,99.5,100.05,99.43,100.01,2206800,96.21
16-03-2006,98.83,99.68,98.83,99.43,3129600,95.65
15-03-2006,98.93,99.17,98.1,98.74,1689900,94.98
14-03-2006,97.43,99.28,97.38,99.07,4482400,95.24
